name,comuna_id
Barrios Otún ,1
Barrios Otún ,1
El Balso ,1
Las Vegas ,1
La Graciela ,1
La Esneda ,1
La Badea   ,1
Minuto de Dios ,1
Villa Alexandra ,1
Pedregales,1
Inquilinos,1
El Paraíso ,2
San Gregorio ,2
San Rafael ,2
Olaya Herrera ,2
Coogemela ,2
Valher ,2
Fabio León ,2
La Cabaña ,2
Pío XII ,2
Los Leones ,2
El Carmen ,2
Los Cámbulos ,2
Alonso Valencia ,2
Villa Fanny ,2
La Aurora ,2
El Japón ,2
Santiago Londoño ,2
Camilo Mejía Duque ,2
Los Héroes ,2
Vela etapa I y II ,2
Los Abedules ,2
Altos de Santa Mónica ,2
Las Garzas ,2
Villa Alquín ,2
Villa Santa Mónica ,2
Villa Clara ,2
Panorama Center ,2
Diana Turbay ,2
Alvaro Patiño Amariles I y II ,2
Saturno y La Sultana.,2
Los Olivos ,3
"Campestre etapa A, B, C y D ",3
El Refugio – Tairona ,3
El Oasis ,3
Torres del Sol ,3
Villa del Campestre ,3
Maracay.,3
Santa Isabel etapa I y II ,4
El Poblado – Lucitania ,4
Santa Clara ,4
Pasadena,4
El Prado ,5
Terranova ,5
Normandía ,5
Cocolí ,5
Horizontes ,5
Mandalay ,5
La Floresta ,5
Santa Mónica ,5
La Pradera ,5
Rincón del Lago ,5
La Campiña ,5
Las Palmitas ,5
Los Lagos ,5
 Los Rosales ,5
Las Violetas ,5
Portal de Santa Mónica ,5
Los Almendros ,5
Castellar de Santa Mónica ,5
Catalina ,5
Mansardas ,5
El Remanso ,5
El Arco Iris ,5
San Simón ,5
Barlovento ,5
Las Quintas de Don Abel ,5
La Pradera Alta etapa I y II ,5
Marabel ,5
La Calleja ,5
Prado Verde.,5
Los Arrayanes ,6
Inducentro ,6
Tarena ,6
Buenos Aires ,6
Guayacanes ,6
La Primavera ,6
El Recreo ,6
Villa Elena ,6
San Félix ,6
Villa del Campo ,6
Garma ,6
Playa Rica ,6
Félix Montoya ,6
Villa Tury ,6
Villa Perla ,6
Villa Mery ,6
La Estación ,6
Montana ,6
La Pilarica.,6
El Progreso ,7
Los Cámbulos ,7
Los Molinos ,7
Pablo VI ,7
Milán ,7
La Esmeralda ,7
Toreadles ,7
Girasol ,7
Villa del Pilar etapa I y II ,7
Villalón ,7
Balalika ,7
Jardín Colonial I y II ,7
Las Colinas ,7
Jardines de Milán ,7
Santa Lucía ,7
Coomnes ,7
Quintas de Jardín Colonial ,7
Bosques de Milán ,7
Villa de los Molinos.,7
Primero de Agosto ,8
Modelo ,8
El Diamante ,8
Nueva Granada ,8
Martillo ,8
Maglosa ,8
Barro Blanco ,8
Guadalito ,8
San Diego ,8
Versalles ,8
Pasaje Zapata ,8
Villa Tula ,8
El Mirador.,8
Puerto Nuevo ,9
"Camilo Torres etapa I, II y III ",9
Bella Vista ,9
Sinaí ,9
La Mariana ,9
Divino Niño Jesús ,9
Los Libertadores ,9
César Augusto López Arias ,9
El Prado ,9
Solidaridad por Colombia ,9
Júpiter ,9
Mercurio ,9
Saturno ,9
Venus etapa I y II ,9
Villa María ,9
Los Alpes ,9
La Independencia ,9
Luis Carlos Galán Sarmiento ,9
El Zafiro ,9
Portal de los Alpes ,9
Meaux ,9
Zaguán de las Villas.,9
Carlos Ariel Escobar ,10
La Romelia Alta y Baja ,10
La Divisa ,10
Galaxia ,10
Las Acacias ,10
Los Pinos ,10
Los Guamos ,10
El Bosque Carbonero ,10
La Floresta ,10
Estación Gutiérrez ,10
Villa Carola ,10
Bosques de la Acuarela ,10
Lara Bonilla ,10
El Rosal ,10
El Chicó ,10
Villa Colombia ,10
La Semilla ,10
Tejares de la Loma ,10
Nuevo Bosque.,10
Los Milagros ,11
Siete de Agosto ,11
Santa Teresita ,11
La Castallena ,11
Arturo López ,11
La Capilla ,11
Los Naranjos.,11
La Carmelita ,12
San Fernando ,12
Guadalupe ,12
San Nicolás ,12
Centro Administrativo Municipal CAM ,12
Fabrisedas S.A ,12
Casa de la Cultura ,12
Cruz Roja ,12
Buenos Aires ,12
Guadalupe.,12
